Type,ID,Name,Unit,MinValue,MaxValue,DefaultValue,Increment,ScalingType,AdditionalValue
Float,algo1GainStage1,Algo1GainStage1,dB,-36.0,36.0,0.0,0.1,,
Float,algo2GainStage1,Algo2GainStage1,dB,-36.0,36.0,0.0,0.1,,
Float,algo1GainStage2,Algo1GainStage2,dB,-36.0,36.0,0.0,0.1,,
Float,algo2GainStage2,Algo2GainStage2,dB,-36.0,36.0,0.0,0.1,,
Float,stage1Mix,Stage1Mix,,-0.0,1.0,0.5,0.01,,
Float,stage2Mix,Stage2Mix,,-0.0,1.0,0.5,0.01,,
Float,stage3Mix,Stage3Mix,,-0.0,1.0,0.5,0.01,,
Float,stage1Gain,Stage1Gain,,-12.0,6.0,0.0,0.1,,
Float,stage2Gain,Stage2Gain,,-12.0,6.0,0.0,0.1,,
Float,stage3Gain,Stage3Gain,,-12.0,6.0,0.0,0.1,,
Bool,stage1Enable,Stage1Enable,,-0.0,1.0,0.0,1.0,,
Bool,stage2Enable,Stage2Enable,,-0.0,1.0,0.0,1.0,,
Bool,stage3Enable,Stage3Enable,,-0.0,1.0,0.0,1.0,,
Bool,stage1Link,Stage1Link,,-0.0,1.0,0.0,1.0,,
Bool,stage2Link,Stage2Link,,-0.0,1.0,0.0,1.0,,
Bool,stage3Link,Stage3Link,,-0.0,1.0,0.0,1.0,,
Float,stage1Blend,Stage1Blend,,-0.0,1.0,0.5,0.01,,
Float,stage2Blend,Stage2Blend,,-0.0,1.0,0.5,0.01,,
Float,highCutStage1,HighCutStage1,Hz,10.0,20000.0,20000.0,1.0,,
Float,highCutStage2,HighCutStage2,Hz,10.0,20000.0,20000.0,1.0,,
Float,lowCutStage1,LowCutStage1,Hz,10.0,20000.0,10.0,1.0,,
Float,lowCutStage2,LowCutStage2,Hz,10.0,20000.0,10.0,1.0,,
Float,crossoverStereoMagic,CrossoverStereoMagic,Hz,10.0,20000.0,10.0,1.0,,
Float,width,Width,,-10.0,100.0,1.0,0.1,,
Float,stereoMagicWidth,StereoMagicWidth,,-0.1,1.0,0.0,0.01,,
Float,stereoMagicSize,StereoMagicSize,,-0.1,1.0,0.5,0.01,,
Float,stereoMagicAir,StereoMagicAir,,-0.0,1.0,0.0,0.01,,
Float,stereoMagicMix,StereoMagicMix,,-0.0,1.0,1.0,0.01,,
Float,outputGain,OutputGain,dB,-36.0,36.0,0.0,0.1,,
Float,inputGain,InputGain,dB,-36.0,36.0,0.0,0.1,,